2018-11-10,22:45:59,38.628
2018-11-10,22:46:00,37.552
2018-11-10,22:46:01,37.014
2018-11-10,22:46:02,36.476
2018-11-10,22:46:03,37.552
2018-11-10,22:46:04,37.014
2018-11-10,22:46:05,37.014
2018-11-10,22:46:06,37.552
2018-11-10,22:46:07,37.014
2018-11-10,22:46:08,36.476
2018-11-10,22:46:09,37.014
2018-11-10,22:46:10,36.476
2018-11-10,22:46:11,35.4
2018-11-10,22:46:12,36.476
2018-11-10,22:46:13,36.476
2018-11-10,22:46:14,36.476
2018-11-10,22:46:15,37.014
2018-11-10,22:46:16,37.014
2018-11-10,22:46:17,37.552
2018-11-10,22:46:18,37.552
2018-11-10,22:46:19,36.476
2018-11-10,22:46:20,37.014
2018-11-10,22:46:21,37.552
2018-11-10,22:46:22,37.552
2018-11-10,22:46:23,37.014
2018-11-10,22:46:24,37.014
2018-11-10,22:46:25,37.014
2018-11-10,22:46:26,37.014
2018-11-15,21:05:58,20.5
2018-11-15,21:06:09,20.437
2018-11-15,21:06:20,20.437
2018-11-15,21:06:31,20.437
2018-11-15,21:06:42,20.437
2018-11-15,21:06:53,20.437
2018-11-15,21:07:04,20.437
